name,type,all_type,description,group,all_group,indoor_outdoor,all_in_out,longitude,latitude,geometry
Gjellerup Skov,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.14216923471523,56.150428681133285,"c(10.1421692347152, 56.1504286811333)"
Åby Park,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.165175018508924,56.15309380456203,"c(10.1651750185089, 56.153093804562)"
Shelter i Gjellerup Skov,Nature facilities,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.142253000000071,56.15040797999976,"c(10.1422530000001, 56.1504079799998)"
Fitnessplads Åby Park ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.164688920000083,56.15201897999975,"c(10.1646889200001, 56.1520189799998)"
Åbyhøj Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.144196285449464,56.15574116800911,"c(10.1441962854495, 56.1557411680091)"
Bellevue,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.247437565519357,56.19133187488475,"c(10.2474375655194, 56.1913318748848)"
Egå Engsø,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.220411129966799,56.21384971604652,"c(10.2204111299668, 56.2138497160465)"
Forteparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.229729070697285,56.195536972867046,"c(10.2297290706973, 56.195536972867)"
Mollerup Skov,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.200529870407639,56.200466968305086,"c(10.2005298704076, 56.2004669683051)"
Skoleparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.231018768522645,56.19183357929128,"c(10.2310187685226, 56.1918335792913)"
Åkrogen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.28185158246067,56.202321473534084,"c(10.2818515824607, 56.2023214735341)"
Shelter i Mollerup Skov,Nature facilities,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.202736960000095,56.20629302999977,"c(10.2027369600001, 56.2062930299998)"
Shelterplads ved Egå Engsø - fem stk.,Nature facilities,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.220276880000105,56.21360399999978,"c(10.2202768800001, 56.2136039999998)"
Fitnessplads Rolf Haugstrups Plads ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.208919960000099,56.19270500999977,"c(10.2089199600001, 56.1927050099998)"
Fitnesspark ved Åkrogen,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.281720000000135,56.201813999999764,"c(10.2817200000001, 56.2018139999998)"
Bålhus på Tumlepladsen i Riis Skov,Nature facilities,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.224011160000106,56.17695797999978,"c(10.2240111600001, 56.1769579799998)"
Bålplads i Mollerup Skov,Nature facilities,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.202105000000097,56.20201899999977,"c(10.2021050000001, 56.2020189999998)"
Mollerup Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.201127953068264,56.20545437649116,"c(10.2011279530683, 56.2054543764912)"
Riis Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.22497898022922,56.17762890668551,"c(10.2249789802292, 56.1776289066855)"
Den Permanente,Beach,Show all,Public beach at Risskov,Both children and adults,Show all,Outdoor,Show all,10.231308559583287,56.176998506142894,"c(10.2313085595833, 56.1769985061429)"
Risskov Strandpark,Beach,Show all,Public beach and park at Risskov,Both children and adults,Show all,Outdoor,Show all,10.237841127642781,56.184521868667126,"c(10.2378411276428, 56.1845218686671)"
Bellevue Strand,Beach,Show all,Public beach at Risskov,Both children and adults,Show all,Outdoor,Show all,10.24905264371925,56.1909476574439,"c(10.2490526437192, 56.1909476574439)"
