"kommune","anlaegsbet","count","percentage_increase"
"Bornholm","Affaldsgrube",75,21.8310248256435
"Bornholm","Båd-/skibsgrav",1,97.6893120672473
"Bornholm","Batteri",1,3.63871368790455
"Bornholm","Baunehøj",16,144.281517489565
"Bornholm","Bautasten",525,4587.68299781935
"Bornholm","Befæstning",2,4.59302194495789
"Bornholm","Begivenhed",1,46.9236693431776
"Bornholm","Begravelse, uspec undergruppe",21,43.3708929172124
"Bornholm","Begravelsesplads",6,52.8159463796269
"Bornholm","Borg/Voldsted",13,44.7174318393387
"Bornholm","Bosættelse, uspec undergruppe",286,75.0247362035133
"Bornholm","Brandgrav (uspecificeret type)",567,230.091002371507
"Bornholm","Brandgrav i stenkiste",33,313.159580428433
"Bornholm","Brandgrav i trækiste",1,36.0253207506022
"Bornholm","Brandplet",347,1633.7039311024
"Bornholm","Bro",13,60.1381129933903
"Bornholm","Brolægning",3,16.5896404778496
"Bornholm","Brønd",4,5.75756511072513
"Bornholm","Bygning",8,9.71632290092142
"Bornholm","Dæmning (uspecificeret)",3,41.0281842697384
"Bornholm","Depotfund",70,211.286441378703
"Bornholm","Dige (kirkegård)",1,40.5061102073433
"Bornholm","Dige (mark)",2,25.7653605857327
"Bornholm","Dige (uspecificeret)",4,189.234055007438
"Bornholm","Diverse anlæg og genstande, uspec undergruppe",11,10.7670913641038
"Bornholm","Dyreben",7,37.8130847325301
"Bornholm","Dyrkningsspor",7,45.4371540365616
"Bornholm","Dysse",1,2.54101879355873
"Bornholm","Dysse eller jættestue",17,8.3953024961284
"Bornholm","Embedsbolig",1,249.708537289444
"Bornholm","Enkeltfund",1424,79.6717271588147
"Bornholm","Fattiggård",1,886.829512609897
"Bornholm","Fiskebod",16,4265.89179998577
"Bornholm","Flinthuggeplads",1,54.7689876391357
"Bornholm","Forsamlingsplads",3,711.978959249371
"Bornholm","Forsvarsvold",12,204.554239344234
"Bornholm","Gård",12,42.8632875326553
"Bornholm","Genforeningssten",2,9.37893559804216
"Bornholm","Gravgenstand",178,94.3726859743174
"Bornholm","Gravrøse",1454,3418.68522616669
"Bornholm","Gravsten",8,417.294656661701
"Bornholm","Grøft (afvanding)",8,26.3702867470417
"Bornholm","Grøft (skel)",1,7.82052044006364
